INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
265303128,03/18/2023,03:45:00,QUEENS,OUTSIDE,102,0,OTHER,HOSPITAL,N,25-44,M,BLACK,25-44,M,BLACK,1030953,194101,,,
264075661,02/22/2023,16:55:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1004343,243407,40.834751,-73.927388,POINT (-73.927388 40.834751)
270760379,07/03/2023,21:25:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,1008769,177614,40.654153,-73.911632,POINT (-73.911632 40.654153)
265124475,03/14/2023,09:49:00,MANHATTAN,OUTSIDE,20,0,STREET,COMMERCIAL BLDG,N,18-24,M,BLACK,<18,M,BLACK,988755,221899,40.775738,-73.983734,POINT (-73.983734 40.775738)
266761946,04/15/2023,15:46:00,MANHATTAN,INSIDE,32,0,DWELLING,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,M,WHITE HISPANIC,1000980,239318,40.823533,-73.939551,POINT (-73.939551 40.823533)
273520496,08/25/2023,22:45:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1009333,247239,40.84525339546618,-73.90934182293881,POINT (-73.90934182293881 40.84525339546618)
275218028,09/30/2023,17:12:00,BROOKLYN,OUTSIDE,79,2,HOUSING,(null),N,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1000301,192923,40.696192,-73.942116,POINT (-73.942116 40.696192)
262443110,01/24/2023,22:58:00,BRONX,INSIDE,42,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,BLACK,25-44,M,BLACK,1010158,242490,40.832218,-73.906377,POINT (-73.906377 40.832218)
272881671,08/14/2023,02:50:00,BROOKLYN,OUTSIDE,69,0,COMMERCIAL,GAS STATION,N,(null),(null),(null),25-44,M,BLACK,1010541,175595,,,
271818282,07/24/2023,02:40:00,BRONX,INSIDE,46,0,COMMERCIAL,BAR/NIGHT CLUB,N,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1011329,249447,40.851308,-73.902116,POINT (-73.902116 40.851308)
272121090,07/30/2023,00:01:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1011906,170275,40.634001,-73.900356,POINT (-73.900356 40.634001)
274317598,09/12/2023,17:00:00,BROOKLYN,OUTSIDE,81,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1002397,189962,40.688061,-73.934564,POINT (-73.934564 40.688061)
262334290,01/21/2023,22:23:00,BRONX,OUTSIDE,44,0,OTHER,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,M,BLACK,1007674,242091,40.83113,-73.915354,POINT (-73.915354 40.83113)
274180038,09/10/2023,06:10:00,BROOKLYN,OUTSIDE,94,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,990644,208552,40.739103,-73.976924,POINT (-73.976924 40.739103)
274180039,09/10/2023,05:22:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),N,(null),(null),(null),18-24,F,BLACK,998241,187165,40.680390356887045,-73.94955696438568,POINT (-73.94955696438568 40.680390356887045)
273301861,08/22/2023,16:51:00,BRONX,OUTSIDE,47,0,COMMERCIAL,CHAIN STORE,N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1025792,268868,40.904557,-73.849717,POINT (-73.849717 40.904557)
266702450,04/14/2023,13:08:00,QUEENS,OUTSIDE,115,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1021490,214240,40.754639,-73.865584,POINT (-73.865584 40.754639)
270993250,07/07/2023,19:00:00,BRONX,INSIDE,46,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC,1005991,249443,40.851313,-73.921412,POINT (-73.921412 40.851313)
266069022,04/02/2023,03:48:00,QUEENS,OUTSIDE,104,0,STREET,(null),Y,(null),(null),(null),25-44,M,WHITE,1011911,205327,40.730211,-73.900193,POINT (-73.900193 40.730211)
270033866,06/18/2023,02:54:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,987431,202125,40.72146254,-73.98852418,POINT (-73.98852418 40.72146254)
270836517,07/05/2023,02:21:00,BRONX,OUTSIDE,46,0,STREET,(null),N,18-24,M,BLACK HISPANIC,18-24,M,BLACK,1011263,251671,40.857414,-73.902346,POINT (-73.902346 40.857414)
